name,state,total_population,median_household_income,gross_rent,median_home_value,total_in_labor_workforce,total_not_in_labor_workforce,total_education,education_no_hs,education_hs,education_associates,education_bachelors,education_graduate,total_occupancy_status,occupancy_status_occupied,occupancy_status_vacant,total_home_tenure,home_tenure_owner_occupied,home_tenure_renter_occupied,reporting_date,region_type,city
ZCTA5 35074,01,91,-666666666,-666666666,-666666666,91,0,91,48,0,43,0,0,43,43,0,43,0,43,2020-01-01,zipcode,Green pond
ZCTA5 35077,01,13935,41282,669,123200,11752,5866,10171,2153,3380,3260,781,597,6582,5624,958,5624,3988,1636,2020-01-01,zipcode,Hanceville
ZCTA5 35080,01,19047,93176,1366,197400,14377,4350,12318,537,2083,3744,4236,1718,6820,6416,404,6416,5996,420,2020-01-01,zipcode,Helena
ZCTA5 35089,01,1776,52810,768,86200,1621,744,1445,255,530,528,69,63,852,691,161,691,597,94,2020-01-01,zipcode,Kellyton
ZCTA5 35091,01,3179,93042,859,209900,2277,668,2016,108,566,850,295,197,1269,1109,160,1109,1056,53,2020-01-01,zipcode,Kimberly
ZCTA5 35096,01,8695,59619,858,131100,6933,2633,5935,1068,1882,1993,734,258,4130,3113,1017,3113,2688,425,2020-01-01,zipcode,Lincoln
ZCTA5 35112,01,198,145739,-666666666,-666666666,157,17,157,8,66,83,0,0,93,93,0,93,83,10,2020-01-01,zipcode,Margaret
ZCTA5 35126,01,20761,67992,889,145500,16687,6330,13893,1366,4862,4946,1978,741,8067,7533,534,7533,6398,1135,2020-01-01,zipcode,Pinson
ZCTA5 35130,01,3421,46786,470,100700,2874,1590,2579,555,1108,744,97,75,1954,1500,454,1500,1233,267,2020-01-01,zipcode,Quinton
ZCTA5 35133,01,3295,49764,-666666666,143100,2619,1326,2437,377,868,974,144,74,1433,1229,204,1229,1162,67,2020-01-01,zipcode,Remlap
ZCTA5 35151,01,7827,61507,844,126700,6349,2921,5711,868,1913,1784,636,510,3688,2823,865,2823,2560,263,2020-01-01,zipcode,Sylacauga
ZCTA5 35172,01,2941,37361,765,99500,2477,1224,2301,276,1124,713,148,40,1284,1155,129,1155,840,315,2020-01-01,zipcode,Trafford
ZCTA5 35178,01,3126,33530,767,118600,2407,1275,2159,342,950,588,197,82,1581,1277,304,1277,1061,216,2020-01-01,zipcode,Vincent
ZCTA5 76435,48,443,39500,-666666666,64300,381,211,370,28,190,110,34,8,358,208,150,208,196,12,2020-01-01,zipcode,Carbon
ZCTA5 76455,48,926,55000,-666666666,112900,754,297,628,79,204,211,123,11,573,356,217,356,309,47,2020-01-01,zipcode,Gustine
ZCTA5 76472,48,1502,72979,880,123600,1253,440,1120,197,340,127,342,114,702,615,87,615,444,171,2020-01-01,zipcode,Santo
ZCTA5 76484,48,909,66979,732,124200,779,552,641,53,195,221,111,61,583,331,252,331,298,33,2020-01-01,zipcode,Palo pinto
ZCTA5 76022,48,13945,63782,1222,177800,11268,3531,9807,578,2179,4389,1764,897,6114,5679,435,5679,2955,2724,2020-01-01,zipcode,Bedford
ZCTA5 76073,48,6237,85710,998,163100,5097,1639,4496,514,1596,1248,1089,49,2063,1945,118,1945,1555,390,2020-01-01,zipcode,Paradise
ZCTA5 76655,48,8168,100000,1026,198100,6474,1827,5539,366,1281,2057,1376,459,3158,2938,220,2938,2605,333,2020-01-01,zipcode,Lorena
ZCTA5 76798,48,1630,-666666666,-666666666,-666666666,1630,1382,20,0,0,8,12,0,0,0,0,0,0,0,2020-01-01,zipcode,Waco
ZCTA5 76885,48,234,-666666666,-666666666,-666666666,125,95,108,0,8,56,22,22,183,73,110,73,50,23,2020-01-01,zipcode,Valley spring
ZCTA5 76903,48,31429,40518,785,86200,25063,10035,21552,5210,7157,6286,1985,914,13661,11403,2258,11403,7083,4320,2020-01-01,zipcode,San angelo
ZCTA5 76379,48,680,79375,809,115900,508,133,392,33,134,142,70,13,218,197,21,197,157,40,2020-01-01,zipcode,Scotland
ZCTA5 76070,48,955,90703,-666666666,-666666666,756,314,606,34,73,197,278,24,446,424,22,424,424,0,2020-01-01,zipcode,Nemo
ZCTA5 76126,48,23844,93125,1221,236500,17860,5703,15729,972,3035,5024,4388,2310,9438,8455,983,8455,6942,1513,2020-01-01,zipcode,Fort worth
ZCTA5 75410,48,4332,60644,648,151100,3593,1856,3455,530,1478,878,409,160,2353,1881,472,1881,1633,248,2020-01-01,zipcode,Alba
ZCTA5 75435,48,1146,34911,539,64800,927,451,874,118,328,257,141,30,699,499,200,499,329,170,2020-01-01,zipcode,Deport
ZCTA5 75437,48,1144,67125,950,133000,827,319,764,52,243,328,89,52,521,425,96,425,397,28,2020-01-01,zipcode,Dike
ZCTA5 75167,48,12091,99868,1526,278800,9664,2708,8325,1127,1929,2845,1766,658,3841,3762,79,3762,3370,392,2020-01-01,zipcode,Waxahachie
ZCTA5 75180,48,23939,51945,1024,116800,17328,5260,14075,4699,4405,4005,724,242,7537,6635,902,6635,4346,2289,2020-01-01,zipcode,Balch springs
ZCTA5 75203,48,18295,37418,888,108600,13855,4849,11711,3566,3485,2520,1400,740,7532,6759,773,6759,2520,4239,2020-01-01,zipcode,Dallas
ZCTA5 75209,48,14558,99003,1447,576300,12191,3523,11195,780,1352,1802,4469,2792,7447,6807,640,6807,4100,2707,2020-01-01,zipcode,Dallas
ZCTA5 75215,48,17184,31558,863,82000,13301,5238,11193,2715,3550,3120,1207,601,8015,6601,1414,6601,2243,4358,2020-01-01,zipcode,Dallas
ZCTA5 75218,48,22712,90522,1375,353700,18402,5204,17190,1367,2086,3687,5705,4345,10557,9826,731,9826,6523,3303,2020-01-01,zipcode,Dallas
ZCTA5 75228,48,75303,46061,940,165800,55057,18472,44484,12262,13656,10547,5661,2358,28013,25843,2170,25843,11812,14031,2020-01-01,zipcode,Dallas
ZCTA5 75234,48,39644,72054,1385,200000,31240,8796,26141,5094,5736,6140,6096,3075,15185,13859,1326,13859,8184,5675,2020-01-01,zipcode,Dallas
ZCTA5 75237,48,21607,30638,933,136800,14866,4662,12354,2117,4177,4577,1006,477,10165,9197,968,9197,1210,7987,2020-01-01,zipcode,Dallas
ZCTA5 75247,48,772,18245,925,-666666666,709,427,687,144,208,241,50,44,173,158,15,158,0,158,2020-01-01,zipcode,Dallas
ZCTA5 75401,48,20689,43104,931,95000,15671,5804,13671,2943,5544,3316,1237,631,8134,7462,672,7462,4083,3379,2020-01-01,zipcode,Greenville
ZCTA5 75402,48,17463,69632,1076,157500,14009,5167,12206,1002,3713,4046,1975,1470,7207,6424,783,6424,4271,2153,2020-01-01,zipcode,Greenville
ZCTA5 75407,48,18371,69672,1380,193800,14070,4261,11485,1806,3803,3670,1739,467,6513,6031,482,6031,4594,1437,2020-01-01,zipcode,Princeton
ZCTA5 75418,48,14570,51168,881,123000,12210,6735,10482,1735,3850,3097,1102,698,5597,4835,762,4835,3318,1517,2020-01-01,zipcode,Bonham
ZCTA5 75431,48,1871,51108,812,58900,1487,639,1342,313,614,372,36,7,777,607,170,607,405,202,2020-01-01,zipcode,Como
ZCTA5 75450,48,197,110481,-666666666,187500,177,24,177,11,26,132,8,0,191,112,79,112,104,8,2020-01-01,zipcode,Lake creek
ZCTA5 75451,48,1375,38621,-666666666,117600,1158,567,1007,75,188,498,183,63,755,556,199,556,492,64,2020-01-01,zipcode,Leesburg
ZCTA5 75452,48,4673,63125,879,163400,3608,1366,2831,372,1067,886,332,174,1611,1480,131,1480,1055,425,2020-01-01,zipcode,Leonard
ZCTA5 75471,48,1808,49350,1069,123500,1229,487,975,164,371,320,106,14,629,545,84,545,331,214,2020-01-01,zipcode,Pickton
ZCTA5 75489,48,1110,61094,959,115500,802,342,710,59,167,383,64,37,412,397,15,397,245,152,2020-01-01,zipcode,Tom bean
ZCTA5 75495,48,8621,91110,1041,215900,6783,2128,5626,304,1753,2281,1058,230,3074,2737,337,2737,2265,472,2020-01-01,zipcode,Van alstyne
ZCTA5 75551,48,11268,54844,811,115000,8858,3973,7849,773,3025,2178,1276,597,5040,4246,794,4246,3423,823,2020-01-01,zipcode,Atlanta
ZCTA5 35739,01,4380,49306,742,144100,3636,1359,3282,528,1326,918,390,120,2144,1916,228,1916,1533,383,2020-01-01,zipcode,Ardmore
ZCTA5 35746,01,558,34948,-666666666,-666666666,558,411,535,172,223,130,10,0,432,299,133,299,266,33,2020-01-01,zipcode,Fackler
