"Position","Title","Company","Location","Salary","Short Description","Posted At","Detail link"
31,"Cyber Security Engineer","American Unit Inc","Tallahassee, FL 32301",,"2+ years of demonstrated experience producing information security related documentation addressing procedures, standards, and guidelines to ensure information…","Employer
Active 3 days ago","https://www.indeed.com/rc/clk?jk=a0e28ad3d1355f67&bb=-MpGhMalZXaLp8phYycCSxFVgwIlTFAI9VCN74TmGrkYi7bcmscfJnOwzjZ8MsLFwrOFxEu4ERuT2R7_yRYPtOHYPYC5eKn6fmJCMKU8BoIc6fnyW7v7iUkdfuXTus6G&xkcb=SoD567M3_Po452RgRh0_bzkdCdPP&fccid=2c66c04e2f4d0876&cmp=American-Unit-Inc&ti=IT+Security+Specialist&vjs=3"
32,"CyberArk Security Engineer","Raymond James Financial, Inc.","Saint Petersburg, FL 33716 
(Carillon area)",,"Implements Continuous Control Monitoring as necessary for PAM operational excellence and to ensure security best practices are me.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=68acaa10da22e8a9&bb=-MpGhMalZXaLp8phYycCS5O5TMuput0QEpeMsnu_-sc7rIy4CT84_pNpjo_fMRwjf9BphTpoRwuKkKa1RC6W-ptqVgV_zSmXxRKBv3I6_e_cyweLUTNpc0eMuAHELtoz&xkcb=SoCk67M3_Po452RgRh0xbzkdCdPP&fccid=a29e9c4c46532426&vjs=3"
33,"Azure Cloud Security Engineer (Remote)","Deloitte","Remote in Boca Raton, FL",,"Configuring and managing cloud security policies.
Assessing and mitigating cloud security risks.
Experience in mobile and endpoint security.","Posted
Posted 16 days ago","https://www.indeed.com/rc/clk?jk=bf72cb1779baeebe&bb=-MpGhMalZXaLp8phYycCS6q2o3deo5aFVRz5nnCJer3x-rBt7_xPnh0Fm9UoerH-444mztz4QlXxCYgZBAL6LswErFbV2ppmdzF8OsVCsLxZbQIl-_qdvw%3D%3D&xkcb=SoCe67M3_Po452RgRh03bzkdCdPP&fccid=9e215d88a6b33622&vjs=3"
34,"Palo Alto Cybersecurity Lead Engineer","University of Miami","Miami, FL",,"Upgrades security systems by monitoring security environment, identifying security gaps and evaluating and implementing enhancements.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=a437629e55c8fe43&bb=-MpGhMalZXaLp8phYycCS1S-iyYXv0n6I8sa5k4ZCbcA-7py_2-sriXuiN964QWpFpfUTxCHIJTWesJehHu_CxAVZJ8z7GiFG-4NEj1WesFGLcwn5ppyrg%3D%3D&xkcb=SoAD67M3_Po452RgRh00bzkdCdPP&fccid=ec40e650131b4ee3&vjs=3"
35,"Cyber Security Engineer","Baptist Health","Jacksonville, FL 32207 
(Spring Park area)",,"Identifies security risks and exposures, determines the causes of security violations and suggests procedures to halt future incidents and improve security.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=6eeacdb85a297905&bb=-MpGhMalZXaLp8phYycCS-eD2T3BMToex9hNeeBSrhYlKU2MnaQFN5zGOKJXa7HUssnG3X1EgEJkhbvQhicVJGXEqaXua_LPvSlS4qIwJYKwLDmZ5_yqSA%3D%3D&xkcb=SoB167M3_Po452RgRh1KbzkdCdPP&fccid=e9ae04cc3c613d88&vjs=3"
36,"IT Infrastructure & Security Engineer (Hybrid)","City Facilities Management","Jacksonville, FL",,"Explains the purpose of security controls and performs security risk and business impact analysis for medium complexity information systems.","Posted
Posted 19 days ago","https://www.indeed.com/rc/clk?jk=17be1a12b7c8f6a5&bb=-MpGhMalZXaLp8phYycCSypQilZ8oBpZ0O3OLoUzZ4xd9Ut5FITQBa4BVDNkSmgmeuxzjp1Lftjx3yNRZgXdnOXMnLYo3PGtee7Qx9ScAX-6ShYWnuFnb4n1kj7fABEj&xkcb=SoBc67M3_Po452RgRh1IbzkdCdPP&fccid=cda7fbe345547874&vjs=3"
37,"Security DevOps Engineer - On-Site in Miami, FL","eMed, LLC","Miami, FL 33132 
(Downtown area)",,"Knowledge of security standards and frameworks.
Conduct security assessments, code reviews, and vulnerability testing to identify security issues and ensure…","Posted
Posted 29 days ago","https://www.indeed.com/rc/clk?jk=26ba940b6ea4b0e3&bb=-MpGhMalZXaLp8phYycCS-7XxR9JBkLrHbjKO_cPB73V7Iges7MSmvR2Yiq0JT_ii9wwpB0-gyZP6EqXd9ErEiL_d2Kiv4DC9C0IBt3oMnGNmuR0JSlzyLnhkeR-gqA7&xkcb=SoBm67M3_Po452RgRh1ObzkdCdPP&fccid=d1deb2bde3dca51e&vjs=3"
38,"Information Security System Engineer","CACI","Sarasota, FL 34240","$65,000 - $136,500 a year","Demonstrated experience with security Network devices (Firewalls and Switcheds).
Familiarity with code quality and code analyzing security tools.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=d32db435670ee3ea&bb=-MpGhMalZXaLp8phYycCS8bVyki7GFxLdJ65rmQB6v5Ogw9nsSDrmJB11qRkCESDo9cbQKvihOc8jAILwC28tp65HdfEp2yK5e2Mb75xxF-KDcTHRO9OSksBHpj39oEz&xkcb=SoCm67M3_Po452RgRh1DbzkdCdPP&fccid=5fca42294cdbc080&vjs=3"
39,"Enterprise Monitoring Engineer","RiseIT Solutions","Orlando, FL","$100,000 a year","Rate: $100K per year + 8% annual bonus + full benefits + full relocation.
We would like to see candidates that have at least 3 years’ experience with the…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=8578b954df5cd862&bb=-MpGhMalZXaLp8phYycCSx4zEm0dx8JzWlCttRZtpdQLR-rHh6cjYFy-pOZbA315oBPJ4Bsd5ipHV-8tHxGWCabI35jW9b4yQqvHEA1j9F6jEGG7jx5AVW4Gge7SvIZo&xkcb=SoCP67M3_Po452RgRh1BbzkdCdPP&fccid=96acd29be6ef49ba&vjs=3"
40,"Cloud Security Engineer - AWS/Azure/GCP (Remote - Delivery Center)","Deloitte","Remote in Boca Raton, FL",,"Building and operating automated security operations.
Excellent communication skills and the ability to partner and collaborate with both engineers and business…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=4bd61cf9a90dbc1a&bb=-MpGhMalZXaLp8phYycCSyRnw3X9qTvzlwU9zNhmwfU0P_jQqLSY9L2EPdl3GBfKH3j-GXcCgwh6WI_aUDu7A7kIE2ZwGtBVUttziGl99I_FXaHa-5d-2Q%3D%3D&xkcb=SoA767M3_Po452RgRh1AbzkdCdPP&fccid=9e215d88a6b33622&vjs=3"
